danceability,energy,tempo,loudness,valence,cluster
0.389,0.91,166.969,-1.828,0.814,4
0.59,0.737,174.003,-5.559,0.816,4
0.663,0.131,99.488,-13.879,0.368,1
0.24,0.326,171.758,-12.178,0.227,1
0.331,0.225,140.576,-21.15,0.39,0
0.578,0.0948,87.479,-14.97,0.358,1
0.703,0.27,82.873,-12.675,0.533,1
0.416,0.269,96.827,-8.949,0.274,1
0.734,0.481,125.08,-7.725,0.765,2
0.598,0.705,137.496,-7.79,0.718,2
0.191,0.145,85.225,-17.239,0.0849,0
0.23,0.133,91.739,-19.051,0.118,0
0.68,0.6,110.026,-7.702,0.433,3
0.758,0.264,110.068,-11.966,0.742,2
0.4,0.174,115.022,-13.869,0.27,1
0.588,0.405,83.56,-15.55,0.48,1
0.625,0.237,108.508,-16.655,0.298,1
0.744,0.953,129.959,-4.986,0.926,2
0.451,0.491,71.633,-8.73,0.516,3
0.522,0.748,184.063,-5.203,0.733,4
0.362,0.436,79.542,-6.971,0.32,3
0.855,0.504,128.052,-12.359,0.682,2
0.704,0.804,127.999,-6.699,0.836,2
0.707,0.696,114.752,-10.472,0.833,2
0.526,0.298,156.35,-7.287,0.396,1
0.711,0.218,125.521,-22.212,0.591,1
0.636,0.594,111.361,-7.943,0.669,2
0.594,0.481,136.182,-7.678,0.728,2
0.835,0.384,126.892,-15.629,0.971,2
0.695,0.5,112.965,-10.217,0.756,2
0.711,0.941,145.125,-4.008,0.812,2
0.618,0.283,70.941,-16.222,0.751,1
0.681,0.44,84.173,-12.508,0.747,2
0.883,0.418,128.494,-11.432,0.858,2
0.784,0.653,94.011,-10.732,0.968,2
0.776,0.468,116.674,-11.235,0.908,2
0.848,0.826,126.0,-6.746,0.637,2
0.483,0.497,121.719,-12.089,0.569,1
0.348,0.2,99.028,-14.06,0.188,0
0.567,0.654,118.909,-6.058,0.618,2
0.483,0.366,83.102,-15.603,0.856,1
0.42,0.0638,77.397,-20.951,0.548,0
0.336,0.107,77.719,-15.267,0.222,0
0.503,0.456,143.797,-10.465,0.691,4
0.566,0.512,138.484,-8.904,0.464,1
0.434,0.528,69.547,-7.479,0.735,3
0.669,0.937,134.905,-6.85,0.641,2
0.555,0.773,120.07,-5.438,0.616,3
0.804,0.636,128.111,-6.968,0.932,2
0.885,0.341,121.628,-16.44,0.911,2
0.489,0.26,93.186,-11.876,0.371,1
0.43,0.932,145.695,-9.149,0.393,4
0.63,0.606,167.889,-10.914,0.499,4
0.428,0.317,120.689,-9.099,0.509,1
0.683,0.147,32.244,-21.998,0.595,1
0.55,0.0148,74.756,-22.731,0.592,0
0.262,0.151,75.964,-14.86,0.369,0
0.538,0.294,109.024,-12.646,0.279,1
0.297,0.0808,106.209,-20.471,0.183,0
0.542,0.797,127.945,-4.337,0.563,4
0.443,0.16,108.483,-15.269,0.193,1
